Abteistraße		PK 17		okay		53.5799905	9.9899672
Achterkamp		PK 46	Freigabe 2012	okay		53.4380971	10.0085306
Ackermannstraße (Ekhofst-Graumannsweg)		PK 31		pruefen			
Agathenstraße		PK 17		okay		53.5673451	9.965954
Albrechstraße		PK 27		pruefen			
Alexanderstraße		PK 11		okay		53.5562276	10.0215615
Alsterkamp		PK 17	Freigabe 2/2012	okay		53.5772168	9.9954304
Alte Marsch		PK 47	Freigabe 6/2012	okay		53.4739608	9.8296853
Am Born		PK 21		okay		53.5535673	9.9257805
Am Brunnenhof		PK 16	Freigabe 6/2012	okay		53.5550412	9.9591103
Am Feenteich		PK 31	Freigabe 8/2012	okay		53.573798	10.0119145
Am Gleise		PK 44	Freigabe 3/2012	okay		53.5268051	10.0174328
Am Gnadenberg		PK 35	Freigabe 6/2012	okay		53.6372325	10.0353737
Am Kiekeberg		PK 26	Freigabe 6/2012	okay		53.562564	9.8066764
Am Klingenberg (nur Teilstück)		PK 26	Freigabe 6/2012	pruefen			
Am Licentiatenberg		PK 23		okay		53.6145448	9.9835569
Am Mühlenfeld		PK 46	Freigabe 2012	okay		53.4445551	9.9838428
Am Nobisteich		PK 15		okay		53.5489343	9.9572288
Am Rissener Bahnhof		PK 26	Freigabe 6/2012	okay		53.5823516	9.7553765
Am Soldatenfriedhof		PK 46	Freigabe 2012	okay		53.4624292	9.9787034
Anzengruberstraße		PK 46	Freigabe 2012	okay		53.4497878	9.989763
ApenraderStraße		PK 37	Freigabe 5/2012	okay		53.5849191	10.0623876
Arensweg		PK 33	Freigabe 4/2012	okay		53.5888607	10.020375
Arensweg		PK 33	inzwischen freigegeben (12/14)	okay		53.5888607	10.020375
Asbeckstraße		PK 46		okay		53.4581521	9.977919
Aue-Insel		PK 47	Freigabe 6/2012	okay		53.5309125	9.8860583
Auguste-Bauer-Straße		PK 26	Freigabe 6/2012	pruefen			
Avenariusstraße		PK 26		okay		53.5631553	9.8184632
Bachstraße		PK 31		okay		53.5814994	10.0198534
Badestraße		PK 17	Freigabe 2/2012	okay		53.5664827	9.9976592
Bahrenfelder Straße		PK 21		okay		53.5598573	9.9276486
Bahrstrasse		PK 46		pruefen			
Bansenstrasse		PK 46		pruefen			
Baurs Park		PK 26	Freigabe 6/2012	okay		53.558238	9.8125023
Bauvereinsweg		PK 44	Freigabe 2/2012	okay		53.5167085	9.985405
Behrkampsweg		PK 23		okay		53.5926158	9.9634706
Bei der Rolandsmühle		PK 25	Freigabe 4/2012	okay		53.5497183	9.9142183
Beim Gesundbrunnen		PK 41	Freigabe 5/2012	okay		53.5544927	10.0368511
Beim Pachthof		PK 42		okay		53.5516472	10.0816057
Beim Schlump Nebenfb.		PK 17	Freigabe 2/2012	pruefen			
Beim Trichter		PK 15		okay		53.5498149	9.967212
Benzstraße		PK 36		okay		53.5985499	10.0591649
Berlepschweg		PK 46	Freigabe 2012	okay		53.4407328	9.9986451
Berner Koppel		PK 38	Freigabe 4/2012	okay		53.6247027	10.1351616
Bernstorffstraße		PK 16		okay		53.5551482	9.9576007
Beselereplatz (Teilstück frei)		PK 25	Freigabe 5/2012	pruefen			
Bethesdastraße		PK 41	Freigabe 5/2012	okay		53.5579925	10.0400517
Beutnerring		PK 46	Freigabe 2012	okay		53.443462	9.954502
Bieberstraße		PK 17		okay		53.569554	9.9853491
Billhorner Kanalstraße		PK 41	Freigabe 5/2012	okay		53.5384702	10.034198
Billhorner Mühlenweg		PK 41	Freigabe 5/2012	okay		53.5361696	10.0329971
Bleicherstraße		PK 16		okay		53.5558153	9.9615487
Blumenau		PK 31		okay		53.5672156	10.035621
Böckelweg		PK 36		okay		53.6099285	10.0358263
Böckmannstraß		PK 11		pruefen			
Böhmkenstraße		PK 14	Freigabe 10/2012	okay		53.5477368	9.9781397
Bostelreihe		PK 31		okay		53.5730524	10.0294655
Böttgerstraße		PK 17	Freigabe 2/2012	okay		53.5687436	9.9967356
Brahmsallee		PK 17	Freigabe 3/2012	okay		53.5749407	9.9813691
Bräsigweg		PK 36		okay		53.617758	10.075745
Bredensand		PK 46		okay		53.4600278	9.9618942
Bredstedter Straße		PK 37	Freigabe 6/2012	okay		53.5795362	10.0598458
Brekelbaumspark		PK 41	Freigabe 5/2012	okay		53.5537675	10.0363907
Brennerstraße		PK 11		okay		53.5558133	10.0155306
Brookdeich (Brookkehre – Curslacker Heerweg)		PK 43		pruefen			
Buchenallee		PK 23		okay		53.5920162	9.9692461
Bülaustrasse		PK 11		pruefen			
Bundsensweg		PK 41	Freigabe 5/2012	okay		53.5529247	10.0660558
Burggarten		PK 41	Freigabe 5/2012	okay		53.5562893	10.0317383
Burmesterstraße		PK 31		okay		53.5867365	10.03774
Büschelstraße		PK 14	Freigabe 10/2014	pruefen			
Butenfeld		PK 23		okay		53.5923668	9.9695247
Carpserweg		PK 36		okay		53.6091473	10.034517
Chapeaurougeweg		PK 41	Freigabe 5/2012	okay		53.5589002	10.0630842
Chateauneufstraße		PK 41	Freigabe 5/2012	okay		53.5633058	10.0610728
Chemnitzstraße		PK 21		okay		53.5556	9.9471141
Christian-F-Hansen-Straße		PK 26		pruefen			
Christian-Förster-Straße		PK 23		okay		53.5826195	9.9637674
Clasingstraße		PK 23		okay		53.5803091	9.9501785
Clemens-Schultz-Straße		PK 16		okay		53.5520487	9.96628
Cranachstraße		PK 25	Freigabe 5/2012	okay		53.5627004	9.8881558
Curschmannstraße		PK 23		okay		53.5874681	9.977123
Danziger Straße		PK 11		okay		53.5554229	10.0155851
De-Voß-Straße		PK 21	Freigabe 6/2012	okay		53.5454227	9.9496376
Denickestr.		PK 46		pruefen			
