name	id	lat	lon
Hagedornstraße	3430860	53.5792098	9.9914547
Maybachstraße	3449952	53.599246	10.0580523
Hallerstraße	3527355	53.5730913	9.9799005
Borselstraße	3527358	53.5562056	9.9256711
Fiefstücken	3575475	53.5994689	10.003541
Heinrichstraße	3575560	53.566101	9.9567178
Maria-Louisen-Stieg	3655286	53.5913421	10.005079
Rehmstraße	3655287	53.597518	9.99859
Zesenstraße	3663308	53.5885202	10.0056987
Oberstraße	3663319	53.5769485	9.9798684
Efeuweg	3678326	53.5999806	9.9992562
Kippingstraße	3679351	53.5709984	9.9733798
Kippingstraße	3679352	53.5700433	9.9719763
Ellenbogen	3679353	53.5696696	9.9710058
Agathenstraße	3679354	53.5673451	9.965954
Böckelweg	3728433	53.6099285	10.0358263
Andreasstraße	3752943	53.5828578	10.0070664
Ackermannstraße	3757059	53.5619625	10.0184549
Scheffelstraße	3927199	53.5790012	10.0060339
Ruthsweg	3977788	53.5937923	10.0426093
Detmerstraße	3977795	53.590953	10.042034
Morgensternsweg	3977796	53.5919839	10.0428096
Vollmersweg	3977797	53.5919112	10.0417944
Fritz-Neubers-Weg	3977798	53.5917781	10.0408039
Milchstraße	3987471	53.570792	9.9988043
Holzdamm	3994312	53.5558203	10.0053795
Höltystraße	3994760	53.5754149	10.0164022
Reinfeldstraße	4004663	53.5655087	9.9768267
Goldbekufer	4004719	53.5886629	10.01977
Arensweg	4004721	53.5888607	10.020375
Am Feenteich	4005339	53.573798	10.0119145
Gustav-Freytag-Straße	4005340	53.5735013	10.0138291
Gurlittstraße	4005352	53.5581097	10.0097728
St. Georgs Kirchhof	4005358	53.5567365	10.0068048
Tesdorpfstraße	4006560	53.5632304	9.9911541
Wendloher Weg	4006915	53.5962699	9.9799174
Habichtsweg	4014603	53.5956115	10.0442891
Harzensweg	4014625	53.5923619	10.0484157
Ivensweg	4014626	53.5980343	10.0519247
Hauffstraße	4015560	53.5807044	10.0178934
Stolbergstraße	4015561	53.5803972	10.0168627
Ekhofstraße	4015575	53.5613391	10.0205066
Knorrestraße	4015586	53.5587683	10.0147592
Bülaustraße	4015587	53.559464	10.0150041
Hanssensweg	4015612	53.5873628	10.0212274
Schrötteringksweg	4018061	53.5698996	10.0235503
Erlenkamp	4018069	53.5677185	10.020652
Overbeckstraße	4018070	53.5697588	10.0196676
Schubertstraße	4019140	53.5759207	10.0246763
Jollassestieg	4019179	53.5842794	10.0199871
Novalisweg	4019204	53.586734	10.0234595
Martin-Haller-Ring	4019205	53.5872152	10.0259964
Martin-Haller-Ring	4019206	53.5878141	10.0265649
Jean-Paul-Weg	4019208	53.5845774	10.0231065
Hamelausweg	4019251	53.5877591	10.0189978
Magdalenenstraße	4048170	53.5695983	9.997858
Böttgerstraße	4048171	53.5687436	9.9967356
Tischbeinstraße	4049598	53.5970071	10.0406879
Schmilinskystraße	4062224	53.5577995	10.0149518
Feldlerchenweg	4074036	53.5891792	10.1414399
Weizenkamp	4172288	53.5816244	10.0474741
Kettelerweg	4189524	53.6344593	9.9123033
Glißmannweg	4189533	53.6352014	9.9175961
Wilhelmstraße	4215721	53.4589659	9.9762051
Neubertstraße	4218306	53.5611866	10.0301899
Blumenau	4218873	53.5672156	10.035621
Kraepelinweg	4222927	53.5795094	10.0501196
Reyesweg	4222928	53.5809433	10.0520494
Stuvkamp	4222931	53.5781654	10.0435664
Ortrudstraße	4222945	53.5816219	10.0352221
Steendiek	4247358	53.5327762	9.8799274
Stockhausenstraße	4271746	53.5865489	10.0378848
Beimoorstraße	4287253	53.5802086	10.0436897
Gerstenkamp	4302021	53.5807917	10.0476559
Rosenhofstraße	4302174	53.5625747	9.9620329
Juliusstraße	4302201	53.5609771	9.9609106
Mozartstraße	4302296	53.5782808	10.0221356
Griesstraße	4309594	53.5621041	10.0493701
Rhiemsweg	4311389	53.5580583	10.0790176
Elisenstraße	4327836	53.5609955	10.0326561
Hagenau	4327837	53.5664437	10.0364306
Asbeckstraße	4331679	53.4581521	9.977919
Julius-Ludowieg-Straße	4332348	53.4594259	9.9759865
Heilholtkamp	4770662	53.610247	10.0144733
Böttcherkamp	4794797	53.5854659	9.8773906
Ebelingstraße	4801276	53.4583715	9.9861491
Dreistücken	4811473	53.6015165	10.0044877
