name	id	lat	lon
Ole Wisch		PK 36		okay		53.6061573	10.0658008
Elsässer Straße		PK 37	Freigabe 5/2012	okay		53.5851355	10.0600432
Schurzallee-Nord		PK 41		okay		53.5502018	10.0674213
Lorenzengasse		PK 33	Freigabe 11/2012	okay		53.5847465	10.0202055
Feldrosenweg		PK 27		okay		53.6120818	9.8857812
Nobistor		PK 21	Freigabe 6/2012	okay		53.5505239	9.953425
Lessingstraße		PK 31	Freigabe 6/2012	okay		53.5649231	10.0314277
In der Schlucht		PK 46	Freigabe 2012	okay		53.4543261	9.9598819
Ewaldsweg		PK 41	Freigabe 5/2012	okay		53.5527973	10.0660226
Paul-Roosen-Straße		PK 16		okay		53.5530637	9.9585919
Löwenstraße		PK 23		okay		53.5870332	9.9733362
Witts Allee		PK 26	Freigabe 6/2012	okay		53.5633717	9.8159534
Beim Gesundbrunnen		PK 41	Freigabe 5/2012	okay		53.5544927	10.0368511
Avenariusstraße		PK 26		okay		53.5631553	9.8184632
Soltauer Ring		PK 46	Freigabe 2012	okay		53.4377629	9.9891989
Eilbeker Weg		PK 31		okay		53.5701249	10.0472317
Müggenburg		PK 47	Freigabe 6/2012	okay		53.5317892	9.8817765
Steindamm		PK 11		okay		53.5524856	10.0102363
Querstraße		PK 15		okay		53.5488863	9.9603149
Washingtonring		PK 42	Freigabe 6/2012	okay		53.5450613	10.0947509
Trelder Weg		PK 46	Freigabe 2012	okay		53.4395425	9.9899158
Brekelbaumspark		PK 41	Freigabe 5/2012	okay		53.5537675	10.0363907
Curschmannstraße		PK 23		okay		53.5874681	9.977123
Kauershofweg		PK 46	Freigabe 2012	okay		53.4338229	9.9797283
Zwanckweg		PK 36		okay		53.6090006	10.035647
Fuchsloch		PK 41	Freigabe 5/2012	okay		53.5600871	10.0527219
Behrkampsweg		PK 23		okay		53.5926158	9.9634706
Ladigestwiete		PK 26	Freigabe 6/2012	okay		53.5812954	9.7575815
Alte Marsch		PK 47	Freigabe 6/2012	okay		53.4739608	9.8296853
Am Nobisteich		PK 15		okay		53.5489343	9.9572288
Wiebischenkamp		PK 27		okay		53.6141846	9.9080495
Beutnerring		PK 46	Freigabe 2012	okay		53.443462	9.954502
