name	id	lat	lon
Hallerstraße	3527355	53.5730913	9.9799005
Borselstraße	3527358	53.5562056	9.9256711
Heinrichstraße	3575560	53.566101	9.9567178
Maria-Louisen-Stieg	3655286	53.5913421	10.005079
Rehmstraße	3655287	53.597518	9.99859
Zesenstraße	3663308	53.5885202	10.0056987
Oberstraße	3663319	53.5769485	9.9798684
Andreasstraße	3752943	53.5828578	10.0070664
Ackermannstraße	3757059	53.5619625	10.0184549
Scheffelstraße	3927199	53.5790012	10.0060339
Ruthsweg	3977788	53.5937923	10.0426093
Detmerstraße	3977795	53.590953	10.042034
Morgensternsweg	3977796	53.5919839	10.0428096
Vollmersweg	3977797	53.5919112	10.0417944
Fritz-Neubers-Weg	3977798	53.5917781	10.0408039
Milchstraße	3987471	53.570792	9.9988043
Gustav-Freytag-Straße	4005340	53.5735013	10.0138291
Tesdorpfstraße	4006560	53.5632304	9.9911541
Habichtsweg	4014603	53.5956115	10.0442891
Hauffstraße	4015560	53.5807044	10.0178934
Stolbergstraße	4015561	53.5803972	10.0168627
Ekhofstraße	4015575	53.5613391	10.0205066
Knorrestraße	4015586	53.5587683	10.0147592
Bülaustraße	4015587	53.559464	10.0150041
Hanssensweg	4015612	53.5873628	10.0212274
Erlenkamp	4018069	53.5677185	10.020652
Overbeckstraße	4018070	53.5697588	10.0196676
Schubertstraße	4019140	53.5759207	10.0246763
Magdalenenstraße	4048170	53.5695983	9.997858
Tischbeinstraße	4049598	53.5970071	10.0406879
Schmilinskystraße	4062224	53.5577995	10.0149518
Feldlerchenweg	4074036	53.5891792	10.1414399
Glißmannweg	4189533	53.6352014	9.9175961
Neubertstraße	4218306	53.5611866	10.0301899
Kraepelinweg	4222927	53.5795094	10.0501196
Reyesweg	4222928	53.5809433	10.0520494
Ortrudstraße	4222945	53.5816219	10.0352221
Beimoorstraße	4287253	53.5802086	10.0436897
Rosenhofstraße	4302174	53.5625747	9.9620329
Juliusstraße	4302201	53.5609771	9.9609106
Mozartstraße	4302296	53.5782808	10.0221356
Griesstraße	4309594	53.5621041	10.0493701
