Abteistraße	PK 17		
Achterkamp	PK 46	Freigabe 2012	
Ackermannstraße (Ekhofst-Graumannsweg)	PK 31		
Agathenstraße	PK 17		
Albrechstraße	PK 27		
Alexanderstraße	PK 11		
Alsterkamp	PK 17	Freigabe 2/2012	
Alte Marsch	PK 47	Freigabe 6/2012	
Am Born	PK 21		
Am Brunnenhof	PK 16	Freigabe 6/2012	
Am Feenteich	PK 31	Freigabe 8/2012	
Am Gleise	PK 44	Freigabe 3/2012	
Am Gnadenberg	PK 35	Freigabe 6/2012	
Am Kiekeberg	PK 26	Freigabe 6/2012	
Am Klingenberg (nur Teilstück)	PK 26	Freigabe 6/2012	
Am Licentiatenberg	PK 23		
Am Mühlenfeld	PK 46	Freigabe 2012	
Am Nobisteich	PK 15		
Am Rissener Bahnhof	PK 26	Freigabe 6/2012	
Am Soldatenfriedhof	PK 46	Freigabe 2012	
Anzengruberstraße	PK 46	Freigabe 2012	
ApenraderStraße	PK 37	Freigabe 5/2012	
Arensweg	PK 33	Freigabe 4/2012	
Arensweg	PK 33	inzwischen freigegeben (12/14)	
Asbeckstraße	PK 46		
Aue-Insel	PK 47	Freigabe 6/2012	
Auguste-Bauer-Straße	PK 26	Freigabe 6/2012	
Avenariusstraße	PK 26		
Bachstraße	PK 31		
Badestraße	PK 17	Freigabe 2/2012	
Bahrenfelder Straße	PK 21		
Bahrstrasse	PK 46		
Bansenstrasse	PK 46		
Baurs Park	PK 26	Freigabe 6/2012	
Bauvereinsweg	PK 44	Freigabe 2/2012	
Behrkampsweg	PK 23		
Bei der Rolandsmühle	PK 25	Freigabe 4/2012	
Beim Gesundbrunnen	PK 41	Freigabe 5/2012	
Beim Pachthof	PK 42		
Beim Schlump Nebenfb.	PK 17	Freigabe 2/2012	
Beim Trichter	PK 15		
Benzstraße	PK 36		
Berlepschweg	PK 46	Freigabe 2012	
Berner Koppel	PK 38	Freigabe 4/2012	
Bernstorffstraße	PK 16		
Beselereplatz (Teilstück frei)	PK 25	Freigabe 5/2012	
Bethesdastraße	PK 41	Freigabe 5/2012	
Beutnerring	PK 46	Freigabe 2012	
Bieberstraße	PK 17		
Billhorner Kanalstraße	PK 41	Freigabe 5/2012	
Billhorner Mühlenweg	PK 41	Freigabe 5/2012	
Bleicherstraße	PK 16		
Blumenau	PK 31		
Böckelweg	PK 36		
Böckmannstraß	PK 11		
Böhmkenstraße	PK 14	Freigabe 10/2012	
Bostelreihe	PK 31		
Böttgerstraße	PK 17	Freigabe 2/2012	
Brahmsallee	PK 17	Freigabe 3/2012	
Bräsigweg 	PK 36		
Bredensand	PK 46		
Bredstedter Straße	PK 37	Freigabe 6/2012	
Brekelbaumspark	PK 41	Freigabe 5/2012	
Brennerstraße	PK 11		
Brookdeich (Brookkehre – Curslacker Heerweg)	PK 43		
Buchenallee	PK 23		
Bülaustrasse	PK 11		
Bundsensweg	PK 41	Freigabe 5/2012	
Burggarten	PK 41	Freigabe 5/2012	
Burmesterstraße	PK 31		
Büschelstraße	PK 14	Freigabe 10/2014	
Butenfeld	PK 23		
Carpserweg	PK 36		
Chapeaurougeweg	PK 41	Freigabe 5/2012	
Chateauneufstraße	PK 41	Freigabe 5/2012	
Chemnitzstraße	PK 21		
Christian-F-Hansen-Straße	PK 26		
Christian-Förster-Straße	PK 23		
Clasingstraße	PK 23		
Clemens-Schultz-Straße	PK 16		
Cranachstraße	PK 25	Freigabe 5/2012	
Curschmannstraße	PK 23		
Danziger Straße	PK 11		
De-Voß-Straße	PK 21	Freigabe 6/2012	
Denickestr.	PK 46		
Desenißstraße	PK 31		
Detlev-Bremer-Straße	PK 15	Freigabe 5/2012	
Diebsteichweg	PK 25	Freigabe 5/2012	
Diesterwegstraße	PK 31	Freigabe 8/2012	
Dillstraße	PK 17		
Dimpfelweg	PK 41	Freigabe 5/2012	
Dobbelersweg	PK 41	Freigabe 5/2012	
Döhnerstraße	PK 41	Freigabe 5/2012	
Dorfgang	PK 41	Freigabe 5/2012	
Drehbahn	PK 14		
Drögestraße	PK 31	Freigabe 6/2012	
Droopweg	PK 41	Freigabe 5/2012	
Dulsberg-Süd	PK 37		
Dunckersweg	PK 42		
Durchschnitt	PK 17		
Efeuweg	PK 33		
Eichenstraße	PK 23		
Eiffestraße (Nebenfahrbahn)	PK 41	Freigabe 5/2012	
Eilbeker Weg 	PK 31		
Eilbektal 	PK 31		
Eisenlohrsweg	PK 23		
Elisenstraße	PK 31	inzwischen freigegeben (12/14)	
Ellenbogen	PK 17		
Elsässer Straße	PK 37	Freigabe 5/2012	
Erik-Blumfeld-Platz	PK 26	Freigabe 6/2012	
Ernst-Eger-Str.	PK 46		
Eschelsweg	PK 21	Freigabe 6/2012	
Eupener Straße 	PK 37	Freigabe 5/2012	
Ewaldsweg	PK 41	Freigabe 5/2012	
Eydtkuhnenweg	PK 37	Freigabe 5/2012	
Feldrosenweg	PK 27		
Femerlingweg	PK 46		
Feuerberg	PK 46	Freigabe 2012	
Fiefstücken	PK 33		
Flotowstraße	PK 31		
Forbacher Straße	PK 37	frei 1/2014	
Forsmannstraße	PK 33	inzwischen freigegeben (12/14)	
Fraenkelstraße	PK 31	Freigabe 6/2012	
Framheinstraße	PK 31	Freigabe 6/2012	
Friedrich-Legahn-Straße	PK 26	Freigabe 6/2012	
Fritz-Reuter-Straße 	PK 36		
Fuchsloch	PK 41	Freigabe 5/2012	
Fuhlsbüttler Straße (Hellbrookstr - Pestalozzistr.)	PK 31		
Funkstraße	PK 21	Freigabe 6/2012	
Gazertstraße	PK 46		
Gebweiler Straße	PK 37		
Gellersenweg	PK 46	Freigabe 2012	
Gerstenbergstraße	PK 26	Freigabe 6/2012	
Gerstenkamp	PK 31	Freigabe 6/2012	
Geschwister-Scholl-Straße	PK 23		
Gilcherweg	PK 35	Freigabe 6/2012	
Gnadenbergweg	PK 34	Freigabe 6/2012	
Goldbekufer	PK 33	Freigabe 6/2012	
Goldbekweg	PK 33	inzwischen freigegeben (12/14)	
Görresring	PK 26	Freigabe 6/2012	
Goßlers Park (Ring)	PK 26	Freigabe 6/2012	
Gottfried-Keller-Straße	PK 25	Freigabe 5/2012	
Grädenerstraße	PK 23		
